period,ratio
2021-12-27,51.28417
2022-01-03,49.88298
2022-01-10,50.51989
2022-01-17,47.95449
2022-01-24,50.47841
2022-01-31,49.56601
2022-02-07,47.94561
2022-02-14,48.20926
2022-02-21,48.80765
2022-02-28,58.15978
2022-03-07,60.14456
2022-03-14,58.6545
2022-03-21,58.19533
2022-03-28,59.01887
2022-04-04,58.75818
2022-04-11,62.78105
2022-04-18,58.26939
2022-04-25,55.28334
2022-05-02,57.01039
2022-05-09,58.61599
2022-05-16,60.81701
2022-05-23,63.56607
2022-05-30,100.0
2022-06-06,60.31341
2022-06-13,60.34007
2022-06-20,56.62233
2022-06-27,52.93716
2022-07-04,53.10898
2022-07-11,52.16992
2022-07-18,51.64558
2022-07-25,52.82163
2022-08-01,55.91729
2022-08-08,54.98711
2022-08-15,54.32651
2022-08-22,56.18094
2022-08-29,52.49281
2022-09-05,59.00109
2022-09-12,52.63797
2022-09-19,54.51313
2022-09-26,60.70444
2022-10-03,58.02944
2022-10-10,56.17205
2022-10-17,55.97357
2022-10-24,54.59312
2022-10-31,54.49832
2022-11-07,53.71922
2022-11-14,54.88046
2022-11-21,52.35951
2022-11-28,48.01078
2022-12-05,50.02221
2022-12-12,46.88805
2022-12-19,48.3396
2022-12-26,49.60748
